Hours_Studied,Attendance,Previous_Score,Assignments_Completed,Pass
8.5,75,63,2,0
4.2,89,60,9,1
7.2,70,52,7,1
3.5,93,85,10,1
9.2,59,78,8,1
6.6,66,60,7,1
1.3,54,59,6,0
10.7,54,71,4,1
6.0,75,64,6,0
3.5,88,39,10,1
2.6,41,82,10,1
6.8,74,80,5,1
10.5,86,68,10,1
11.2,85,69,6,1
2.3,81,55,5,1
3.5,44,92,9,1
7.2,69,62,8,1
4.1,41,30,7,0
1.1,82,56,3,0
3.0,72,35,4,0
4.1,47,61,8,1
2.7,55,71,2,0
9.7,91,96,8,1
4.0,54,47,10,0
10.8,79,49,5,0
0.4,88,87,7,1
10.9,96,41,7,1
9.4,72,42,7,0
4.2,93,58,9,1
11.6,53,75,9,1
4.2,53,61,6,1
5.8,82,58,8,1
1.4,47,76,9,1
11.6,78,82,10,1
1.1,72,71,6,1
11.3,48,56,0,0
11.6,82,68,4,1
4.3,87,49,8,1
5.1,41,52,2,0
7.1,92,81,5,1
5.7,41,96,9,1
10.3,50,78,4,1
2.6,44,30,8,0
9.3,100,77,1,1
7.2,98,80,8,1
7.0,42,66,1,0
4.4,94,74,10,1
11.0,70,83,0,0
5.2,53,82,2,0
1.7,63,44,6,0
8.8,69,44,9,1
10.6,89,31,0,0
3.2,88,72,6,1
3.3,72,62,9,1
10.1,70,92,9,1
9.7,63,41,1,0
4.2,89,98,1,1
10.4,62,50,3,0
3.7,73,39,3,0
11.0,55,69,7,1
2.6,44,61,2,0
1.2,88,84,9,1
4.3,82,50,3,0
7.6,67,77,1,0
3.6,66,40,6,0
2.3,60,36,8,0
5.0,54,78,4,1
3.8,84,48,3,1
7.2,72,52,6,0
9.4,70,56,6,1
4.1,59,34,10,0
11.1,47,32,5,0
2.5,76,39,8,1
7.4,45,38,9,0
5.5,58,40,10,1
2.8,92,57,8,1
6.4,91,99,7,1
5.2,54,92,2,0
7.2,76,49,10,1
9.1,96,95,10,1
8.7,65,75,0,0
4.6,63,67,10,1
9.0,85,31,2,0
11.2,79,34,6,0
9.0,98,83,1,1
7.4,53,92,7,1
3.6,45,88,10,1
4.6,82,59,7,1
6.1,68,58,0,0
9.0,41,94,1,0
9.7,51,32,2,0
11.0,89,71,1,0
8.8,78,68,0,0
5.0,43,54,5,0
4.4,81,98,0,0
3.7,76,100,10,1
11.7,72,97,0,0
11.8,59,68,3,1
4.9,55,30,7,0
6.6,46,98,4,1
