Hours_Studied,Attendance,Previous_Score,Assignments_Completed,Pass
7.47,97.92,75.52,9,1
8.53,84.88,78.25,10,1
8.19,90.76,80.93,9,1
3.98,59.81,31.29,4,0
2.16,68.13,39.97,1,0
2.98,59.17,64.01,2,0
2.31,45.17,41.13,4,0
8.63,95.42,84.67,8,1
1.09,56.66,40.14,1,0
2.69,74.09,31.1,1,0
2.94,47.24,61.24,3,0
3.73,70.89,44.61,4,0
6.9,88.44,98.73,9,1
5.27,46.91,41.82,2,0
9.18,97.36,78.1,10,1
1.7,62.94,61.76,5,0
7.3,92.73,79.9,9,1
8.99,92.86,71.89,6,1
4.75,69.86,62.54,4,0
1.77,63.7,37.77,1,0
7.4,98.28,83.76,7,1
9.57,92.85,80.27,8,1
1.9,68.14,58.63,2,0
1.15,67.82,47.4,4,0
6.64,78.33,75.21,6,1
1.83,61.28,60.5,1,0
1.55,48.59,63.69,2,0
7.12,87.17,95.09,7,1
4.19,54.76,32.69,3,0
8.61,79.36,66.86,9,1
5.36,53.14,35.64,5,0
3.34,57.83,47.59,1,0
6.98,88.04,91.09,6,1
3.67,55.75,30.24,3,0
7.97,78.26,69.95,7,1
1.7,72.66,38.73,4,0
6.41,98.47,83.55,10,1
6.04,89.36,99.18,10,1
4.64,54.76,41.31,3,0
2.37,49.23,58.13,1,0
1.83,48.24,39.75,1,0
5.35,54.33,63.0,1,0
4.9,50.88,56.44,4,0
8.89,76.86,67.38,8,1
3.31,47.22,60.13,3,0
2.31,74.61,48.88,5,0
8.27,95.44,90.3,8,1
4.53,66.87,44.95,3,0
6.65,96.43,84.38,8,1
1.96,55.7,58.28,2,0
3.05,66.21,37.98,4,0
3.69,71.84,47.8,2,0
3.36,69.07,36.53,4,0
4.08,71.62,42.73,1,0
3.71,46.36,38.01,3,0
8.6,84.63,71.32,6,1
1.26,47.65,44.36,2,0
8.43,80.07,90.69,6,1
2.37,66.89,48.16,4,0
8.52,95.1,74.42,9,1
8.9,86.28,92.18,10,1
6.71,90.18,69.33,7,1
7.36,76.37,70.32,7,1
5.09,61.84,40.53,2,0
6.37,98.57,67.04,10,1
8.65,92.7,76.98,9,1
2.4,60.68,51.33,4,0
6.02,89.68,93.04,7,1
6.34,85.24,84.07,7,1
6.1,89.02,89.92,8,1
9.4,83.05,74.51,10,1
3.23,66.4,38.81,3,0
9.55,99.13,87.18,7,1
3.46,45.76,31.8,2,0
8.58,82.88,82.12,6,1
9.59,99.2,73.34,9,1
6.95,93.78,89.66,8,1
1.29,54.93,34.2,1,0
6.78,89.88,67.56,10,1
9.12,96.47,68.9,9,1
9.59,83.61,87.67,7,1
7.06,88.27,98.47,8,1
1.44,64.13,54.61,1,0
1.21,48.48,47.88,4,0
5.28,68.25,52.27,1,0
9.6,97.96,93.97,6,1
1.63,50.96,61.36,4,0
4.29,73.18,41.0,3,0
2.65,69.46,33.85,3,0
7.57,91.6,86.8,7,1
8.01,84.11,91.77,10,1
8.85,97.06,94.42,7,1
9.89,95.16,84.85,6,1
6.37,96.81,88.45,10,1
3.75,68.17,58.26,3,0
8.57,83.07,67.76,7,1
8.77,99.76,68.67,8,1
1.82,53.43,52.17,3,0
8.31,85.01,66.49,9,1
9.59,98.89,67.27,9,1
